Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
93,08-avril-2016 11:26:44.953 ,"13,091089","0,732911",-4,"0,838384", {Ml1B:-72,56WR:-85,tBfJ:-85,z6SH:-71,T0Fy:-62,IKAo:-85} , 08-avril-2016 11:26:45.831,,,,,,
94,08-avril-2016 11:26:47.020 ,"15,66133","1,61438",-10,"0,614085", {Ml1B:-72,56WR:-81,tBfJ:-92,z6SH:-72,T0Fy:-58,IKAo:-88} , 08-avril-2016 11:26:47.883,37,08-avril-2016 11:26:47.020,"14,86","0,98","0,80133","0,63438"
95,08-avril-2016 11:26:49.836 ,"16,527237","1,576518",-13,"0,912698", {Ml1B:-70,56WR:-84,tBfJ:-87,z6SH:-71,T0Fy:-63,IKAo:-91} , 08-avril-2016 11:26:49.034,38,08-avril-2016 11:26:49.836,"16,86","0,98","0,332763","0,596518"
96,08-avril-2016 11:26:49.836 ,"16,914172","1,84133",29,"0,50365", {Ml1B:-74,56WR:-81,tBfJ:-87,z6SH:-70,T0Fy:-67,IKAo:-88} , 08-avril-2016 11:26:50.064,,,,,,
97,08-avril-2016 11:26:51.370 ,"17,195534","2,122116",41,"0,474687", {Ml1B:-73,56WR:-90,tBfJ:-86,z6SH:-73,T0Fy:-67,IKAo:-88} , 08-avril-2016 11:26:51.136,39,08-avril-2016 11:26:51.370,"17,86","1,5","0,664466","0,622116"
98,08-avril-2016 11:26:53.041 ,"17,972213","2,642036",34,"1,018866", {Ml1B:-74,56WR:-86,tBfJ:-82,z6SH:-69,T0Fy:-67,IKAo:-88} , 08-avril-2016 11:26:52.213,40,08-avril-2016 11:26:53.041,"18,86","2,5","0,887787","0,142036"
99,08-avril-2016 11:26:53.041 ,"18,634362","3,03382",33,"0,87431", {Ml1B:-74,56WR:-85,tBfJ:-85,z6SH:-79,T0Fy:-68,IKAo:-83} , 08-avril-2016 11:26:53.283,,,,,,
100,08-avril-2016 11:26:54.971 ,"19,197905","3,430978",34,"0,70939", {Ml1B:-70,56WR:-84,tBfJ:-90,z6SH:-72,T0Fy:-69,IKAo:-83} , 08-avril-2016 11:26:54.301,41,08-avril-2016 11:26:54.971,"19,86","3,5","0,662095","0,069022"
101,08-avril-2016 11:26:56.421 ,"19,645453","3,494272",36,"0,667993", {Ml1B:-75,56WR:-83,tBfJ:-90,z6SH:-77,T0Fy:-73,IKAo:-87} , 08-avril-2016 11:26:55.342,42,08-avril-2016 11:26:56.421,"20,86","4,5","1,214547","1,005728"
102,08-avril-2016 11:26:56.421 ,"20,134029","4,150654",55,"0,778122", {Ml1B:-69,56WR:-85,tBfJ:-90,z6SH:-75,T0Fy:-71,IKAo:-84} , 08-avril-2016 11:26:56.343,,,,,,
103,08-avril-2016 11:26:56.421 ,"20,266687","4,482109",74,"0,34663", {Ml1B:-67,56WR:-81,tBfJ:-89,z6SH:-74,T0Fy:-72,IKAo:-84} , 08-avril-2016 11:26:57.375,,,,,,
104,08-avril-2016 11:26:56.421 ,"20,621084","5,392745",74,"0,902666", {Ml1B:-68,56WR:-81,tBfJ:-86,z6SH:-74,T0Fy:-73,IKAo:-84} , 08-avril-2016 11:26:58.390,,,,,,
